BER,EDDB,03MAY22,13:39,(UTC),03MAY22,15:39,(LT),CPH,EKCH,03MAY22,14:34,(UTC),03MAY22,16:34,(LT),OY-KAU,A320,00:55
CPH,EKCH,10MAY22,03:59,(UTC),10MAY22,05:59,(LT),PMI,LEPA,10MAY22,06:35,(UTC),10MAY22,08:35,(LT),EI-SII,A20N,02:36
PMI,LEPA,10MAY22,07:53,(UTC),10MAY22,09:53,(LT),CPH,EKCH,10MAY22,11:00,(UTC),10MAY22,13:00,(LT),EI-SII,A20N,03:07
CPH,EKCH,11MAY22,07:56,(UTC),11MAY22,09:56,(LT),FCO,LIRF,11MAY22,10:09,(UTC),11MAY22,12:09,(LT),OY-KAT,A320,02:13
FCO,LIRF,11MAY22,11:17,(UTC),11MAY22,13:17,(LT),CPH,EKCH,11MAY22,13:47,(UTC),11MAY22,15:47,(LT),OY-KAT,A320,02:30
CPH,EKCH,12MAY22,03:55,(UTC),12MAY22,05:55,(LT),PMI,LEPA,12MAY22,06:59,(UTC),12MAY22,08:59,(LT),EI-SID,A20N,03:04
PMI,LEPA,12MAY22,07:55,(UTC),12MAY22,09:55,(LT),CPH,EKCH,12MAY22,10:55,(UTC),12MAY22,12:55,(LT),EI-SID,A20N,03:00
CPH,EKCH,13MAY22,05:31,(UTC),13MAY22,07:31,(LT),OSL,ENGM,13MAY22,06:39,(UTC),13MAY22,08:39,(LT),EI-SII,A20N,01:08
OSL,ENGM,13MAY22,07:15,(UTC),13MAY22,09:15,(LT),CPH,EKCH,13MAY22,08:20,(UTC),13MAY22,10:20,(LT),EI-SII,A20N,01:05
CPH,EKCH,13MAY22,09:05,(UTC),13MAY22,11:05,(LT),FCO,LIRF,13MAY22,11:27,(UTC),13MAY22,13:27,(LT),EI-SII,A20N,02:22
FCO,LIRF,13MAY22,12:25,(UTC),13MAY22,14:25,(LT),CPH,EKCH,13MAY22,15:02,(UTC),13MAY22,17:02,(LT),EI-SII,A20N,02:37
CPH,EKCH,14MAY22,06:17,(UTC),14MAY22,08:17,(LT),PMI,LEPA,14MAY22,09:16,(UTC),14MAY22,11:16,(LT),EI-SII,A20N,02:59
PMI,LEPA,14MAY22,10:26,(UTC),14MAY22,12:26,(LT),CPH,EKCH,14MAY22,13:24,(UTC),14MAY22,15:24,(LT),EI-SII,A20N,02:58
CPH,EKCH,18MAY22,12:19,(UTC),18MAY22,14:19,(LT),BER,EDDB,18MAY22,13:14,(UTC),18MAY22,15:14,(LT),OY-KAU,A320,00:55
BER,EDDB,18MAY22,13:59,(UTC),18MAY22,15:59,(LT),CPH,EKCH,18MAY22,15:03,(UTC),18MAY22,17:03,(LT),OY-KAU,A320,01:04
CPH,EKCH,18MAY22,15:45,(UTC),18MAY22,17:45,(LT),LHR,EGLL,18MAY22,17:32,(UTC),18MAY22,18:32,(LT),EI-SIF,A20N,01:47
LHR,EGLL,18MAY22,18:13,(UTC),18MAY22,19:13,(LT),CPH,EKCH,18MAY22,19:51,(UTC),18MAY22,21:51,(LT),EI-SIF,A20N,01:38
CPH,EKCH,19MAY22,16:27,(UTC),19MAY22,18:27,(LT),LHR,EGLL,19MAY22,18:19,(UTC),19MAY22,19:19,(LT),EI-SII,A20N,01:52
LHR,EGLL,19MAY22,19:38,(UTC),19MAY22,20:38,(LT),CPH,EKCH,19MAY22,21:12,(UTC),19MAY22,23:12,(LT),EI-SII,A20N,01:34
CPH,EKCH,20MAY22,11:33,(UTC),20MAY22,13:33,(LT),BER,EDDB,20MAY22,12:11,(UTC),20MAY22,14:11,(LT),OY-KAT,A20N,00:38
CPH,EKCH,20MAY22,12:59,(UTC),20MAY22,14:59,(LT),BER,EDDB,20MAY22,13:47,(UTC),20MAY22,15:47,(LT),OY-KAT,A20N,00:48
BER,EDDB,20MAY22,14:47,(UTC),20MAY22,16:47,(LT),CPH,EKCH,20MAY22,15:42,(UTC),20MAY22,17:42,(LT),OY-KAT,A20N,00:55
CPH,EKCH,20MAY22,17:05,(UTC),20MAY22,19:05,(LT),LHR,EGLL,20MAY22,19:00,(UTC),20MAY22,20:00,(LT),OY-KAT,A20N,01:55
LHR,EGLL,20MAY22,19:46,(UTC),20MAY22,20:46,(LT),CPH,EKCH,20MAY22,21:19,(UTC),20MAY22,23:19,(LT),OY-KAT,A20N,01:33
CPH,EKCH,21MAY22,15:21,(UTC),21MAY22,17:21,(LT),FCO,LIRF,21MAY22,17:37,(UTC),21MAY22,19:37,(LT),OY-KAT,A320,02:16
FCO,LIRF,21MAY22,18:44,(UTC),21MAY22,20:44,(LT),CPH,EKCH,21MAY22,21:12,(UTC),21MAY22,23:12,(LT),OY-KAT,A320,02:28
CPH,EKCH,22MAY22,12:13,(UTC),22MAY22,14:13,(LT),MUC,EDDM,22MAY22,13:39,(UTC),22MAY22,15:39,(LT),OY-KAU,A320,01:26
MUC,EDDM,22MAY22,14:32,(UTC),22MAY22,16:32,(LT),CPH,EKCH,22MAY22,16:07,(UTC),22MAY22,18:07,(LT),OY-KAU,A320,01:35
CPH,EKCH,22MAY22,16:51,(UTC),22MAY22,18:51,(LT),LHR,EGLL,22MAY22,18:49,(UTC),22MAY22,19:49,(LT),OY-KAU,A320,01:58
LHR,EGLL,22MAY22,19:50,(UTC),22MAY22,20:50,(LT),CPH,EKCH,22MAY22,21:27,(UTC),22MAY22,23:27,(LT),OY-KAU,A320,01:37
CPH,EKCH,25MAY22,11:37,(UTC),25MAY22,13:37,(LT),GDN,EPGD,25MAY22,12:32,(UTC),25MAY22,14:32,(LT),EI-SIC,A20N,00:55
GDN,EPGD,26MAY22,04:01,(UTC),26MAY22,06:01,(LT),CPH,EKCH,26MAY22,05:09,(UTC),26MAY22,07:09,(LT),EI-SIC,A20N,01:08
CPH,EKCH,26MAY22,06:31,(UTC),26MAY22,08:31,(LT),MXP,LIMC,26MAY22,08:35,(UTC),26MAY22,10:35,(LT),OY-KAT,A320,02:04
MXP,LIMC,26MAY22,09:19,(UTC),26MAY22,11:19,(LT),CPH,EKCH,26MAY22,11:36,(UTC),26MAY22,13:36,(LT),OY-KAT,A320,02:17
CPH,EKCH,27MAY22,06:15,(UTC),27MAY22,08:15,(LT),LHR,EGLL,27MAY22,08:37,(UTC),27MAY22,09:37,(LT),EI-SIC,A20N,02:22
LHR,EGLL,27MAY22,09:28,(UTC),27MAY22,10:28,(LT),CPH,EKCH,27MAY22,11:09,(UTC),27MAY22,13:09,(LT),EI-SIC,A20N,01:41
CPH,EKCH,28MAY22,06:26,(UTC),28MAY22,08:26,(LT),PMI,LEPA,28MAY22,09:12,(UTC),28MAY22,11:12,(LT),EI-SII,A20N,02:46
PMI,LEPA,28MAY22,10:17,(UTC),28MAY22,12:17,(LT),CPH,EKCH,28MAY22,13:25,(UTC),28MAY22,15:25,(LT),EI-SII,A20N,03:08
CPH,EKCH,29MAY22,06:33,(UTC),29MAY22,08:33,(LT),ATH,LGAV,29MAY22,10:01,(UTC),29MAY22,13:01,(LT),OY-KAT,A320,03:28
ATH,LGAV,29MAY22,10:55,(UTC),29MAY22,13:55,(LT),CPH,EKCH,29MAY22,14:08,(UTC),29MAY22,16:08,(LT),OY-KAT,A320,03:13
CPH,EKCH,02JUN22,04:02,(UTC),02JUN22,06:02,(LT),PMI,LEPA,02JUN22,07:01,(UTC),02JUN22,09:01,(LT),EI-SIO,A20N,02:59
PMI,LEPA,02JUN22,07:52,(UTC),02JUN22,09:52,(LT),CPH,EKCH,02JUN22,10:47,(UTC),02JUN22,12:47,(LT),EI-SIO,A20N,02:55
CPH,EKCH,03JUN22,05:52,(UTC),03JUN22,07:52,(LT),LHR,EGLL,03JUN22,07:47,(UTC),03JUN22,08:47,(LT),EI-SIL,A20N,01:55
LHR,EGLL,03JUN22,09:00,(UTC),03JUN22,10:00,(LT),CPH,EKCH,03JUN22,10:44,(UTC),03JUN22,12:44,(LT),EI-SIL,A20N,01:44
